dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,cv_gmean_macro,cv_auc_ovr_macro,test_gmean_macro,test_auc_ovr_macro,search_time_sec,n_jobs_search
glass,aumentado,pcsmote,50,75,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.7121847490630413,0.7310748510748512,0.6441459351198565,0.639293417435654,0.7392929292929292,0.8238095238095237,0.5968794180609855,0.5833910034602076,0.5859011381360475,,0.7937005259840998,0.93662324615857,0.326,4
glass,aumentado,pcsmote,50,75,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.218,4
glass,aumentado,pcsmote,75,25,entropia,230,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6657011247762854,0.6940313390313391,0.5755303902487122,0.5684787895842359,0.715725079518183,0.7801587301587302,0.5783944730299003,0.5733522324592486,0.5653506424947061,,0.7549781336075673,0.9290698799845142,0.261,4
glass,aumentado,pcsmote,75,25,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.222,4
glass,aumentado,pcsmote,75,50,entropia,230,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6793181248953672,0.7105516705516706,0.6053625498547042,0.5963644485548445,0.7116562449895784,0.7793650793650794,0.581084936128289,0.5763546798029556,0.5792204916355084,,0.7585312008512162,0.91474311479568,0.256,4
glass,aumentado,pcsmote,75,50,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.219,4
glass,aumentado,pcsmote,75,75,entropia,230,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6638904275306213,0.6960295260295261,0.5774017903488455,0.5691855142733953,0.6957018290351624,0.7674603174603174,0.5560844648072449,0.5495810055865922,0.5626523415892923,,0.7437860504949182,0.9211196884136329,0.279,4
glass,aumentado,pcsmote,75,75,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.235,4
heart,aumentado,pcsmote,25,25,entropia,536,60,13,False,5,10,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.5874034666107157,0.5989230769230769,0.5094041633281243,0.5064817373616094,0.38202764976958525,0.39799783549783546,0.35779476857590015,0.35590421139554085,0.555524429223923,,0.33968093467271043,0.7983435032027918,1.232,4
heart,aumentado,pcsmote,25,25,proporcion,444,60,13,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6172694189756796,0.6264190476190477,0.6427000225492977,0.6394589385630366,0.31345420407205304,0.3095779220779221,0.3335970865145622,0.33005806163465823,0.270636986457548,,0.001473969511869289,0.7692890342995854,0.682,4
